Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"S Octarina, PBJ Bangun…","The Application to Find Cutting Patterns in Two Dimensional Cutting Stock Problem (similarity)",2017,"Journal of Informatics and …","repository.unsri.ac.id","https://repository.unsri.ac.id/78072/","https://scholar.google.com/scholar?cites=11586176102173825901&as_sdt=2005&sciodt=2007&hl=en",1,"2023-05-11 11:55:16","","","","",,,,,18,3.00,6,3,6,"… cut from two sides, the length and width. Two dimensional CSP aims to minimize the cutting waste … the application of finding cutting patterns in two dimensional CSP Based on the results…","https://repository.unsri.ac.id/78072/1/The%20Application%20to%20Find%20Cutting%20Patterns%20in%20Two%20Dimensional%20Cutting%20Stock%20Problem.pdf","https://scholar.google.com/scholar?q=related:bdswW8ddyqAJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
7,"N Malik, R Ahmad, Y Chen, MS Altaf…","Minimizing joist cutting waste through dynamic waste allocation in panelized floor manufacturing",2021,"International journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15623599.2019.1602581","https://scholar.google.com/scholar?cites=16979113331048756730&as_sdt=2005&sciodt=2007&hl=en",2,"2023-05-11 11:55:16","","10.1080/15623599.2019.1602581","","",,,,,7,3.50,1,5,2,"… In the CSP, raw materials are designed to be cut to a set of required sizes. The goal of CSP is to minimize waste during the cutting … By examining the cutting constraints, solutions to CSP …","https://www.tandfonline.com/doi/pdf/10.1080/15623599.2019.1602581","https://scholar.google.com/scholar?q=related:-rVCip3toesJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
32,"C Le Hesran, AL Ladier, V Botta-Genoulaz…","Operations scheduling for waste minimization: A review",2019,"Journal of cleaner …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959652618328592","https://scholar.google.com/scholar?cites=1803367160741604104&as_sdt=2005&sciodt=2007&hl=en",3,"2023-05-11 11:55:16","","","","",,,,,32,8.00,8,4,4,"… CSP problem with scheduling and waste minimization concerns is reviewed and classified. … with an aggregated objective function combining the cost of waste during the cutting …","","https://scholar.google.com/scholar?q=related:CKubx-DYBhkJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
11,"K Kwon, D Kim, S Kim","Cutting Waste Minimization of Rebar for Sustainable Structural Work: A Systematic Literature Review",2021,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/13/11/5929","https://scholar.google.com/scholar?cites=5758942463332200689&as_sdt=2005&sciodt=2007&hl=en",4,"2023-05-11 11:55:16","","","","",,,,,11,5.50,4,3,2,"… cutting wastes are still generated. In this paper, the trends in the research on cutting waste minimization … Therefore, CSP-related literature has been searched for since 1960 in this study. …","https://www.mdpi.com/2071-1050/13/11/5929/pdf","https://scholar.google.com/scholar?q=related:8TDUgKjf608J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
27,"ZSM Nadoushani, AWA Hammad, J Xiao…","Minimizing cutting wastes of reinforcing steel bars through optimizing lap splicing within reinforced concrete elements",2018,"… and Building Materials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950061818316969","https://scholar.google.com/scholar?cites=15405085332924085395&as_sdt=2005&sciodt=2007&hl=en",5,"2023-05-11 11:55:16","","","","",,,,,27,5.40,7,4,5,"… approach for minimizing the cutting waste from reinforcing … The estimated waste produced after adoption of optimal lap … is compared with the waste generated when cutting patterns are …","","https://scholar.google.com/scholar?q=related:kzSFm33bydUJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
3,"S Lomate, B Rajiv, PD Pantawane…","Greedy algorithm to generate cutting patterns for cutting stock problem (1D and 2D)",2020,"Industrial Engineering …","researchgate.net","https://www.researchgate.net/profile/Rajiv-B-H/publication/341705828_Greedy_Algorithm_to_generate_cutting_patterns_for_Cutting_Stock_Problem_1D_and_2D/links/62417a0f7931cc7ccfff4e78/Greedy-Algorithm-to-generate-cutting-patterns-for-Cutting-Stock-Problem-1D-and-2D.pdf","https://scholar.google.com/scholar?cites=10250019469404020196&as_sdt=2005&sciodt=2007&hl=en",6,"2023-05-11 11:55:16","PDF","","","",,,,,3,1.00,1,4,3,"… Cutting stock problem (CSP) deals with cutting of small objects (finals), out of a larger one exhibits the problem of minimization of wastage … cutting pattern generation technique for CSP. …","https://www.researchgate.net/profile/Rajiv-B-H/publication/341705828_Greedy_Algorithm_to_generate_cutting_patterns_for_Cutting_Stock_Problem_1D_and_2D/links/62417a0f7931cc7ccfff4e78/Greedy-Algorithm-to-generate-cutting-patterns-for-Cutting-Stock-Problem-1D-and-2D.pdf","https://scholar.google.com/scholar?q=related:5B2qhmZiP44J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
2,"D Morillo-Torres, MT Baena, JW Escobar…","A mixed-integer linear programming model for the cutting stock problem in the steel industry",2021,"… Computer Sciences in …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-86702-7_27","https://scholar.google.com/scholar?cites=10919650147946486622&as_sdt=2005&sciodt=2007&hl=en",7,"2023-05-11 11:55:16","","10.1007/978-3-030-86702-7_27","","",,,,,2,1.00,1,4,2,"… one dimension cutting stock problem (1D-CSP) in the steel industry. A case study of a metallurgical company is presented and the objective is to minimize waste in the cutting process of …","","https://scholar.google.com/scholar?q=related:Xlvka_RjipcJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
4,"MY Cheng, YC Fang, CY Wang","Auto-tuning SOS algorithm for two-dimensional orthogonal cutting optimization",2021,"KSCE Journal of Civil Engineering","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12205-021-0522-y&casa_token=_oPuVBTlgEUAAAAA:RvUGFxNYUOSsTVWyb5V7Q-KzRJEiNvwdhzmkOHdF-IEJ0cfs7h13H8LwwJIcThxZAL3DexeP3kctFGTPnQ","https://scholar.google.com/scholar?cites=12571561495651600757&as_sdt=2005&sciodt=2007&hl=en",8,"2023-05-11 11:55:16","","10.1007/s12205-021-0522-y","","",,,,,4,2.00,1,3,2,"… Reducing material waste by using building information … focused on two-dimensional cutting stock problems (2D-CSP), and … cutting stock problem (CSP) is minimizing the material waste. …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/s12205-021-0522-y.pdf&casa_token=_w7xxgnFrBYAAAAA:X61O9aayyzDuvvaeVFiNylDPxCk8d_29bU9v2MCKIEVOBaZbVdAm5QkZZ14Be9LNWlBg851VlOQpcDhRZg","https://scholar.google.com/scholar?q=related:dclKxJIod64J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
30,"C Zheng, C Yi, M Lu","Integrated optimization of rebar detailing design and installation planning for waste reduction and productivity improvement",2019,"Automation in Construction","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580518305491","https://scholar.google.com/scholar?cites=13224542462366524023&as_sdt=2005&sciodt=2007&hl=en",9,"2023-05-11 11:55:16","","","","",,,,,30,7.50,10,3,4,"… construction material waste [5]. The main objective for the classic CSP is minimizing the material waste, … Additionally, it is noteworthy that if we only minimize waste cost (cutting loss), the …","","https://scholar.google.com/scholar?q=related:dyJtik0Dh7cJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
9,"D Lee, S Son, D Kim, S Kim","Special-length-priority algorithm to minimize reinforcing bar-cutting waste for sustainable construction",2020,"Sustainability","mdpi.com","https://www.mdpi.com/777556","https://scholar.google.com/scholar?cites=9348617254146340215&as_sdt=2005&sciodt=2007&hl=en",10,"2023-05-11 11:55:16","","","","",,,,,9,3.00,2,4,3,"… In operations research, the CSP is the problem to cut standard-sized pieces of … minimizing the material wasted [28]. Kantorovich provides two examples in his paper to make the CSP …","https://www.mdpi.com/2071-1050/12/15/5950/pdf","https://scholar.google.com/scholar?q=related:d_V6jtz1vIEJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
